"000000035","","AU01","false","","Manjulaarama","2020-01-24 20:57:37.0000000","USD","","1201 THIRD AVENUE SUITE 5100","SEATTLE","US","1000001282","","WA","98154",,,,"IN","2020-01-30 20:57:00.0000000","","","","false","false","false","AVE INDUSTRIAS # 4500 ESQ. CO","SAN LUIS POTOSI","MX","SLP","78395","","AIR HOSE","16320M1D","false","","15","","","","2020-01-24 20:57:30.0000000","1000002486","","","","","EA","Manjulaarama","2020-01-24 20:57:37.0000000","Manjulaarama","","","","LBS","PACCAR PARTS - SAN LUIS POTOSI","MITSUI & CO USA INC",,,,,,,,,,,
"000000086","","US50","false","","TM_INT_EMP01","2020-06-24 19:31:23.0000000","USD","","Edificio 9080\, Local 1&2 SPECIAL ECONOMIC ZONE","HOWARD ARRAIJAN","PA","PA51","","","0000","10.000000","10.000000","10.000000","IN","2020-06-30 09:17:00.0000000","","","","false","false","false","3211 FRUITLAND AVE","LOS ANGELES","US","CA","90058-0843","ZCTN","AXLE-WELDMENT","AXLE-WELDMENT","true","","10","","","","2020-06-22 09:17:00.0000000","1000001404","","","Testing Premium Freight with Reason Code","CC","EA","TM_INT_EMP01","2020-06-24 19:31:23.0000000","TM_INT_EMP01","","","3000","LBS","BARKSDALE - LOS ANGELES CA","PACCAR Parts - Panama","ECN","testing@emial.com","TM_INT_EMP01",,,,,,,,
"000000036","","US01","false","","Manjulaarama","2020-01-24 20:58:31.0000000","USD","","557 LEE INDUSTRIAL BLVD","AUSTELL","US","1000000763","","GA","30168",,,,"IN","2020-01-30 20:58:00.0000000","","","","false","false","false","1261 FARM TO MARKET ROAD","MT VERNON","US","WA","98273","","HOSE-AIR","16344M1D","false","","15","","","","2020-01-24 20:58:24.0000000","1000001321","","","","","EA","Manjulaarama","2020-01-24 20:58:31.0000000","Manjulaarama","","","","LBS","PACCAR TECHNICAL CENTER","US XPRESS - AUSTELL",,,,,,,,,,,
"000000087","","US03","false","","TM_INT_EMP01","2020-06-24 08:45:11.0000000","USD","","3200 AIRPORT RD","DENTON","US","PD00","","TX","76205","40.000000","40.000000","10.000000","IN","2020-06-30 08:45:00.0000000","","","","false","false","false","1601 NORTH 8TH ST","RENTON","US","WA","98055","ZDRM","JUMPER- AIR DRYER","P92-1129-3800","true","","100","","","","2020-06-25 08:45:00.0000000","KR02","","","","CC","EA","TM_INT_EMP01","2020-06-24 08:45:11.0000000","TM_INT_EMP01","","","100","LBS","Kenworth-Renton (Dock C)","PD00 - PETERBILT DENTON","PLE","testing@emial.com","TM_INT_EMP01",,,,,,,,
"000000037","","US03","false","","Manjulaarama","2020-01-24 20:59:17.0000000","USD","","GPO Box 261","","AU","PORT-MELBOURNE","","VIC","3001",,,,"IN","2020-01-27 20:59:00.0000000","","","","false","false","false","4141 Distribution Circle","North Las Vegas","US","NV","89030","","HUBCAP-BULK\,STEER/TRAILER BLACK (100PCS)","1644B-100CHR","false","","12","","","","2020-01-24 20:59:10.0000000","US55","","","","","EA","Manjulaarama","2020-01-24 20:59:17.0000000","Manjulaarama","","","","LBS","PACCAR Parts - Las Vegas","Melbourne Port\, Australia",,,,,,,,,,,
"000000088","","AU01","false","","TM_INT_EMP01","2020-06-24 08:53:01.0000000","USD","","Calzada Gustavo Vildosola Castro","Mexicali","MX","MX02","","BC","21385","12.000000","12.000000","12.000000","IN","2020-06-29 08:52:00.0000000","","","","false","false","false","ATTN MC 60404","COLUMBUS","US","IN","47202-3005","ZSTR","FIFTH WHEEL\, HOLLAND","FW17J912XL00","true","","100","","","","2020-06-25 08:52:00.0000000","1000001041","","","","CC","EA","TM_INT_EMP01","2020-06-24 08:53:01.0000000","TM_INT_EMP01","","","10000","LBS","CUMMINS-ROCKY MTN NC","PACCAR KenFab Plant","NEW","testing@emial.com","TM_INT_EMP01",,,,,,,,
"000000038","456","CA51","false","","Mohammedsale","2020-01-27 19:35:29.0000000","USD","123","20020 E GRANT HWY","MARENGO","US","1000004705","","IL","60152","11.000000","12.000000","10.000000","IN","2020-01-31 16:30:00.0000000","111","","","false","false","false",". 750 HOUSER WAY NORTH","RENTON","US","WA","98057-5573","ZCTN","SEPARATOR-FUEL/WATER","FS1022FLG","false","789","10","","Receiving Contact","101","2020-01-28 10:30:00.0000000","1000004685","","Ship Contact","Shipping Instructions","PP","EA","Mohammedsale","2020-01-27 19:35:29.0000000","Mohammedsale","","","123","LBS","PACCAR PARTS","DIA PACKAGING",,,,,,,,,,,
"000000089","","CA01","false","","TM_INT_EMP01","2020-06-24 13:40:29.0000000","USD","","Calzada Gustavo Vildosola Castro","Mexicali","MX","MX02","","BC","21385","12.000000","10.000000","10.000000","IN","2020-07-01 13:40:00.0000000","123456789","","","false","false","false","431 E. DIVISION STREET","WAUTOMA","US","WI","54982-6943","ZWPT","FIFTH WHEEL\, HOLLAND","FW17H824XL00","false","","110","","","","2020-06-25 13:39:00.0000000","1000001043","","","testing user ID","CC","EA","TM_INT_EMP01","2020-06-24 13:40:29.0000000","TM_INT_EMP01","","","2000","LBS","CUMMINS EMIS. SOLUTIONS WAU","PACCAR KenFab Plant","","testing@emial.com","TM_INT_EMP01",,,,,,,,
"000000039","456","MX01","false","US","Mohammedsale","2020-01-27 19:50:52.0000000","USD","123","20020 E GRANT HWY","MARENGO","US","1000004705","","IL","60152","11.000000","12.000000","10.000000","IN","2020-01-31 17:45:00.0000000","111","","","false","true","true",". 750 HOUSER WAY NORTH","RENTON","US","WA","98057-5573","ZCOP","FILTER","FS1096FLG","false","789","10","","Receiving Contact","101","2020-01-28 10:00:00.0000000","1000004685","","Ship Contact","Ship Instructions","PP","EA","Mohammedsale","2020-01-27 19:50:52.0000000","Mohammedsale","123","KA1234123","13","LBS","PACCAR PARTS","DIA PACKAGING",,,,,,,,,,,
"000000090","","MX01","false","","TM_INT_EMP01","2020-06-24 13:44:41.0000000","USD","","920 SE 9TH AVE","ONTARIO","US","1000000012","","OR","97914","20.000000","20.000000","20.000000","IN","2020-07-02 13:44:00.0000000","23456789","","","false","false","false","3211 FRUITLAND AVE","LOS ANGELES","US","CA","90058-0843","ZSTR","FIFTH WHEEL\, HOLLAND","FW17H924XL00","false","","200","","","","2020-06-25 13:44:00.0000000","1000001404","","","","PP","EA","TM_INT_EMP01","2020-06-24 13:44:41.0000000","TM_INT_EMP01","","","300","LBS","BARKSDALE - LOS ANGELES CA","KENWORTH SALES COMPANY ONTARIO","","testing@emial.com","TM_INT_EMP01",,,,,,,,
"000001144","","US53","false","","TM_INT_EMP01","2020-07-01 14:40:52.0000000","USD","","1601 NORTH 8TH ST","RENTON","US","KR01","","WA","98055","12.000000","123.000000","12.000000","IN","2020-07-10 14:40:00.0000000","","","","false","false","false","431 E. DIVISION STREET","WAUTOMA","US","WI","54982-6943","ZWPT","Module - Intake\, Air","F31-1172","true","","112","","","","2020-07-06 14:40:00.0000000","1000001043","","","","PP","EA","TM_INT_EMP01","2020-07-01 14:40:52.0000000","TM_INT_EMP01","","","123","LBS","CUMMINS EMIS. SOLUTIONS WAU","Kenworth-Renton (Dock M)","","testing@emial.com","TM_INT_EMP01",,,,,,,,
